E1,K0,R0,N,Ti,err.Theta,err.Theta.BC
out,1,1,30,30,0.1072,0.1044
out,1,1,50,50,0.0592,0.0552
out,1,1,70,70,0.0356,0.0338
out,1,1,100,100,0.0267,0.024
out,1,1,150,150,0.0179,0.0162
out,1,1,200,200,0.0129,0.0117
,,,,,,
E2,K0,R0,N,Ti,err.Theta,err.Theta.BC
out,1,1,30,30,0.1157,0.1111
out,1,1,50,50,0.0611,0.058
out,1,1,70,70,0.0437,0.0406
out,1,1,100,100,0.0295,0.0272
out,1,1,150,150,0.0187,0.017
out,1,1,200,200,0.016,0.0145
,,,,,,
E3,K0,R0,N,Ti,err.Theta,err.Theta.BC
out,1,1,30,30,0.1067,0.1049
out,1,1,50,50,0.0603,0.0562
out,1,1,70,70,0.0363,0.0345
out,1,1,100,100,0.0271,0.0246
out,1,1,150,150,0.0178,0.016
out,1,1,200,200,0.0129,0.0117