"","K0","R0","N","Ti","cancor.Theta.RPC","cancor.F.RPC","err.Theta.RPC","err.F.RPC","K=0","K=1","K=2","K=3","K=4","R=0","R=1","R=2","R=3","R=4"
"PCp1",2,2,20,200,0.992621791864263,0.935083466780491,0.212599034638474,0.632758898128628,0,42,58,0,0,0,6,94,0,0
"ICp1",2,2,20,200,0.992621791864263,0.935083466780491,0.212599034638474,0.632758898128628,0,47,53,0,0,6,17,77,0,0
"PCp2",2,2,20,200,0.992621791864263,0.935083466780491,0.212599034638474,0.632758898128628,0,42,58,0,0,0,7,93,0,0
"ICp2",2,2,20,200,0.992621791864263,0.935083466780491,0.212599034638474,0.632758898128628,0,55,45,0,0,9,23,68,0,0
"PCp3",2,2,20,200,0.992621791864263,0.935083466780491,0.212599034638474,0.632758898128628,0,40,60,0,0,0,2,98,0,0
"ICp3",2,2,20,200,0.992621791864263,0.935083466780491,0.212599034638474,0.632758898128628,0,45,55,0,0,2,10,88,0,0
"PCp1",2,2,50,200,0.997924391183384,0.975217620420624,0.121902021666742,0.403673214048731,0,1,99,0,0,0,0,100,0,0
"ICp1",2,2,50,200,0.997924391183384,0.975217620420624,0.121902021666742,0.403673214048731,0,2,98,0,0,0,0,100,0,0
"PCp2",2,2,50,200,0.997924391183384,0.975217620420624,0.121902021666742,0.403673214048731,0,3,97,0,0,0,0,100,0,0
"ICp2",2,2,50,200,0.997924391183384,0.975217620420624,0.121902021666742,0.403673214048731,0,3,97,0,0,0,0,100,0,0
"PCp3",2,2,50,200,0.997924391183384,0.975217620420624,0.121902021666742,0.403673214048731,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,50,200,0.997924391183384,0.975217620420624,0.121902021666742,0.403673214048731,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,100,200,0.998869973013925,0.987912853758787,0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,100,200,0.998869973013925,0.987912853758787,0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,100,200,0.998869973013925,0.987912853758787,0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"ICp2",2,2,100,200,0.998869973013925,0.987912853758787,0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"PCp3",2,2,100,200,0.998869973013925,0.987912853758787,0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,100,200,0.998869973013925,0.987912853758787,0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,200,200,0.999485531850017,0.994028662697215,0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,200,200,0.999485531850017,0.994028662697215,0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,200,200,0.999485531850017,0.994028662697215,0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"ICp2",2,2,200,200,0.999485531850017,0.994028662697215,0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"PCp3",2,2,200,200,0.999485531850017,0.994028662697215,0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,200,200,0.999485531850017,0.994028662697215,0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,200,20,0.990258388016244,0.988228805426953,0.250831101968111,0.239879711924392,0,6,94,0,0,2,31,67,0,0
"ICp1",2,2,200,20,0.990258388016244,0.988228805426953,0.250831101968111,0.239879711924392,0,14,86,0,0,12,34,54,0,0
"PCp2",2,2,200,20,0.990258388016244,0.988228805426953,0.250831101968111,0.239879711924392,0,7,93,0,0,2,35,63,0,0
"ICp2",2,2,200,20,0.990258388016244,0.988228805426953,0.250831101968111,0.239879711924392,0,19,81,0,0,15,36,49,0,0
"PCp3",2,2,200,20,0.990258388016244,0.988228805426953,0.250831101968111,0.239879711924392,0,2,98,0,0,1,25,74,0,0
"ICp3",2,2,200,20,0.990258388016244,0.988228805426953,0.250831101968111,0.239879711924392,0,7,93,0,0,6,29,65,0,0
"PCp1",2,2,200,50,0.997514674731781,0.992272926424849,0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,200,50,0.997514674731781,0.992272926424849,0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,200,50,0.997514674731781,0.992272926424849,0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"ICp2",2,2,200,50,0.997514674731781,0.992272926424849,0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"PCp3",2,2,200,50,0.997514674731781,0.992272926424849,0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,200,50,0.997514674731781,0.992272926424849,0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,200,100,0.99886518779354,0.993532494269945,0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,200,100,0.99886518779354,0.993532494269945,0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,200,100,0.99886518779354,0.993532494269945,0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"ICp2",2,2,200,100,0.99886518779354,0.993532494269945,0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"PCp3",2,2,200,100,0.99886518779354,0.993532494269945,0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,200,100,0.99886518779354,0.993532494269945,0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"PCp1",0,2,20,200,0,0.936102127961151,0,0.628106605458114,100,0,0,0,0,0,3,97,0,0
"ICp1",0,2,20,200,0,0.936102127961151,0,0.628106605458114,100,0,0,0,0,1,10,89,0,0
"PCp2",0,2,20,200,0,0.936102127961151,0,0.628106605458114,100,0,0,0,0,0,7,93,0,0
"ICp2",0,2,20,200,0,0.936102127961151,0,0.628106605458114,100,0,0,0,0,4,11,85,0,0
"PCp3",0,2,20,200,0,0.936102127961151,0,0.628106605458114,100,0,0,0,0,0,2,98,0,0
"ICp3",0,2,20,200,0,0.936102127961151,0,0.628106605458114,100,0,0,0,0,0,7,93,0,0
"PCp1",0,2,50,200,0,0.975426051663332,0,0.401893106895833,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,50,200,0,0.975426051663332,0,0.401893106895833,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,50,200,0,0.975426051663332,0,0.401893106895833,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,50,200,0,0.975426051663332,0,0.401893106895833,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,50,200,0,0.975426051663332,0,0.401893106895833,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,50,200,0,0.975426051663332,0,0.401893106895833,100,0,0,0,0,0,0,100,0,0
"PCp1",0,2,100,200,0,0.988024409571435,0,0.283365097538318,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,100,200,0,0.988024409571435,0,0.283365097538318,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,100,200,0,0.988024409571435,0,0.283365097538318,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,100,200,0,0.988024409571435,0,0.283365097538318,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,100,200,0,0.988024409571435,0,0.283365097538318,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,100,200,0,0.988024409571435,0,0.283365097538318,100,0,0,0,0,0,0,100,0,0
"PCp1",0,2,200,200,0,0.994082874046735,0,0.200812356536336,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,200,200,0,0.994082874046735,0,0.200812356536336,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,200,200,0,0.994082874046735,0,0.200812356536336,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,200,200,0,0.994082874046735,0,0.200812356536336,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,200,200,0,0.994082874046735,0,0.200812356536336,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,200,200,0,0.994082874046735,0,0.200812356536336,100,0,0,0,0,0,0,100,0,0
"PCp1",0,2,200,20,0,0.989483882389829,0,0.222956540174179,100,0,0,0,0,1,19,80,0,0
"ICp1",0,2,200,20,0,0.989483882389829,0,0.222956540174179,100,0,0,0,0,10,35,55,0,0
"PCp2",0,2,200,20,0,0.989483882389829,0,0.222956540174179,100,0,0,0,0,1,23,76,0,0
"ICp2",0,2,200,20,0,0.989483882389829,0,0.222956540174179,100,0,0,0,0,14,37,49,0,0
"PCp3",0,2,200,20,0,0.989483882389829,0,0.222956540174179,100,0,0,0,0,0,16,84,0,0
"ICp3",0,2,200,20,0,0.989483882389829,0,0.222956540174179,100,0,0,0,0,6,32,62,0,0
"PCp1",0,2,200,50,0,0.992623392768451,0,0.2069288681872,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,200,50,0,0.992623392768451,0,0.2069288681872,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,200,50,0,0.992623392768451,0,0.2069288681872,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,200,50,0,0.992623392768451,0,0.2069288681872,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,200,50,0,0.992623392768451,0,0.2069288681872,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,200,50,0,0.992623392768451,0,0.2069288681872,100,0,0,0,0,0,0,100,0,0
"PCp1",0,2,200,100,0,0.993673400469944,0,0.20038009110974,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,200,100,0,0.993673400469944,0,0.20038009110974,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,200,100,0,0.993673400469944,0,0.20038009110974,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,200,100,0,0.993673400469944,0,0.20038009110974,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,200,100,0,0.993673400469944,0,0.20038009110974,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,200,100,0,0.993673400469944,0,0.20038009110974,100,0,0,0,0,0,0,100,0,0
"PCp1",2,0,20,200,0.996839615617739,0,0.143290116183514,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,20,200,0.996839615617739,0,0.143290116183514,0,0,3,97,0,0,100,0,0,0,0
"PCp2",2,0,20,200,0.996839615617739,0,0.143290116183514,0,0,1,99,0,0,100,0,0,0,0
"ICp2",2,0,20,200,0.996839615617739,0,0.143290116183514,0,0,6,94,0,0,100,0,0,0,0
"PCp3",2,0,20,200,0.996839615617739,0,0.143290116183514,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,20,200,0.996839615617739,0,0.143290116183514,0,0,1,99,0,0,100,0,0,0,0
"PCp1",2,0,50,200,0.998776148915777,0,0.089094155423163,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,50,200,0.998776148915777,0,0.089094155423163,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,50,200,0.998776148915777,0,0.089094155423163,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,50,200,0.998776148915777,0,0.089094155423163,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,50,200,0.998776148915777,0,0.089094155423163,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,50,200,0.998776148915777,0,0.089094155423163,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,100,200,0.999421660151231,0,0.0625418511251433,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,100,200,0.999421660151231,0,0.0625418511251433,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,100,200,0.999421660151231,0,0.0625418511251433,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,100,200,0.999421660151231,0,0.0625418511251433,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,100,200,0.999421660151231,0,0.0625418511251433,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,100,200,0.999421660151231,0,0.0625418511251433,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,200,200,0.999712464438394,0,0.0442352173648745,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,200,0.999712464438394,0,0.0442352173648745,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,200,0.999712464438394,0,0.0442352173648745,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,200,0.999712464438394,0,0.0442352173648745,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,200,0.999712464438394,0,0.0442352173648745,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,200,0.999712464438394,0,0.0442352173648745,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,200,20,0.996693807511458,0,0.148262248872214,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,20,0.996693807511458,0,0.148262248872214,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,20,0.996693807511458,0,0.148262248872214,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,20,0.996693807511458,0,0.148262248872214,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,20,0.996693807511458,0,0.148262248872214,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,20,0.996693807511458,0,0.148262248872214,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,200,50,0.99884665678526,0,0.0864442871629715,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,50,0.99884665678526,0,0.0864442871629715,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,50,0.99884665678526,0,0.0864442871629715,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,50,0.99884665678526,0,0.0864442871629715,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,50,0.99884665678526,0,0.0864442871629715,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,50,0.99884665678526,0,0.0864442871629715,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,200,100,0.999418939076094,0,0.0611342275432202,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,100,0.999418939076094,0,0.0611342275432202,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,100,0.999418939076094,0,0.0611342275432202,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,100,0.999418939076094,0,0.0611342275432202,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,100,0.999418939076094,0,0.0611342275432202,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,100,0.999418939076094,0,0.0611342275432202,0,0,0,100,0,0,100,0,0,0,0
"PCp1",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
